ipaddress,zipcode
209.22.180.17,20151
160.138.14.12,23669
74.195.153.70,79119
74.243.60.115,39503
72.79.77.65,7050
74.67.86.126,13827
99.159.25.25,6484
67.169.178.137,94014
138.162.0.44,23511
138.162.0.44,38058
24.227.97.82,32413
72.49.109.152,45140
72.160.10.196,82941
69.228.36.150,91401
138.163.106.72,98278
162.119.64.114,97060
75.64.134.208,38135
138.162.8.58,32259
71.166.154.7,20878
71.173.184.221,17584
75.134.94.174,63077
71.188.239.105,13760
132.3.9.68,96326
68.172.103.92,12118
24.191.85.124,11236
198.140.184.1,7901
169.157.11.121,32216
138.162.0.44,2169
149.10.148.105,12196
98.183.191.155,23455
71.51.108.174,76549
74.5.23.199,44691
167.244.212.6,12208
144.59.222.31,96205
72.220.50.241,91915
65.23.80.20,48371
138.162.0.41,23323
68.45.212.234,8086
98.208.215.241,33919
143.79.188.198,42223
147.241.0.2,22302
214.13.146.40,9391
199.93.81.1,10606
155.219.223.62,73501
66.196.25.254,76502
198.250.134.70,98431
65.116.1.226,77901
199.208.239.141,22191
67.221.98.2,22802
143.78.193.219,79908
99.149.164.226,48160
80.148.25.155,9456
205.56.129.194,23322
204.210.197.25,44266
74.71.195.25,13672
68.217.166.104,41031
66.67.16.203,14011
213.255.226.51,9342
76.105.115.228,30102
75.73.131.128,55379
24.29.92.239,12054
216.220.216.196,32257
98.166.110.207,23692
79.178.57.86,11210
204.34.247.16,98433
96.224.70.11,11725
71.241.39.188,23464
71.132.128.238,94560
72.186.111.179,34683
72.15.101.20,30263
69.124.25.24,12580
68.92.192.178,77030
174.48.215.195,34986
68.107.250.234,70131
96.228.102.231,12009
